supplier_a,supplier_b,shared_words
"SUNBERRY VEGETABLE AND FRUIT TRADING LLC","SUNBERRY VEGETABLE AND FRUITS TRADING L.L.C","SUNBERRY VEGETABLE"
"GREEN HOUSE FOOD STUFF TRADING LLC","WISK FOOD STUFF TRADING LLC","FOOD STUFF"
"GREEN HOUSE FOOD STUFF TRADING LLC","SAFCO FOOD STUFF","FOOD STUFF"
"GREEN HOUSE FOOD STUFF TRADING LLC","WET FISH FOOD STUFF","FOOD STUFF"
"GREEN HOUSE FOOD STUFF TRADING LLC","SAWHNEY FOOD STUFF TR.CO.LLCSP","FOOD STUFF"
"GREEN HOUSE FOOD STUFF TRADING LLC","ADMIRAL FOOD STUFF TRADING","FOOD STUFF"
"FRESH EXPRESS LLC","FRESH EXPRESS L.L.C","FRESH EXPRESS"
"WISK FOOD STUFF TRADING LLC","SAFCO FOOD STUFF","FOOD STUFF"
"WISK FOOD STUFF TRADING LLC","WET FISH FOOD STUFF","FOOD STUFF"
"WISK FOOD STUFF TRADING LLC","SAWHNEY FOOD STUFF TR.CO.LLCSP","FOOD STUFF"
"WISK FOOD STUFF TRADING LLC","ADMIRAL FOOD STUFF TRADING","FOOD STUFF"
"FAMILY MEATS","FAMILY MEATS TRADING L.LC","FAMILY MEATS"
"BIO DETERGENTS & DISINFECTANTS","BIO DETERGENTS AND DISINFECTANTS TRADING L.LC","DETERGENTS DISINFECTANTS"
"OCEAN FAIR INTERNATIONAL GROUP FZE","OCEAN FAIR INTERNATIONAL GROUP.FZE","OCEAN FAIR"
"COCA-COLA AL AHLIA BEVERAGE COMAPNAY","COCA-COLA AHLIA BEVERAGES COMPANY L.L.C","COCA COLA AHLIA"
"SAFCO FOOD STUFF","WET FISH FOOD STUFF","FOOD STUFF"
"SAFCO FOOD STUFF","SAWHNEY FOOD STUFF TR.CO.LLCSP","FOOD STUFF"
"SAFCO FOOD STUFF","ADMIRAL FOOD STUFF TRADING","FOOD STUFF"
"GARUM RESTAURANT AND BAKERY LLC","GARUM RESTURANT AND BAKERY LLC","GARUM BAKERY"
"SUPER DUCKK","SUPER DUCKK COOKING CONSULTANT CO.LLC","SUPER DUCKK"
"1004 GOURMET","1004 GOURMET GENERAL TRADING LLC","1004 GOURMET"
"Dubai Refreshment","DUBAI REFRESHMENT P.J.S.C","DUBAI REFRESHMENT"
"WET FISH FOOD STUFF","SAWHNEY FOOD STUFF TR.CO.LLCSP","FOOD STUFF"
"WET FISH FOOD STUFF","ADMIRAL FOOD STUFF TRADING","FOOD STUFF"
"SAWHNEY FOOD STUFF TR.CO.LLCSP","ADMIRAL FOOD STUFF TRADING","FOOD STUFF"
